Year,Month,Core,Water vol.,Dependent Variable,Temperature,d13C-CO2,d13C-CH4,TN,TOC,TC,CN,Corg,BD 10cm,WC 10cm,BD 3cm,WC 3cm,Soil volume,Salinity
2022,12,3,232,-232.0448923,28.1,-11.276,-48.523,0.053845566,0.433749408,6.643308163,9.393892988,1.395,1.31,35.93,1.07,47.41,818.87,8.236
2022,12,4,288,-416.7406965,28.1,-11.408,-49.191,0.050627526,0.412147135,9.577866554,9.493410049,1.29,1.37,33.16,1.04,50.32,867.45,7.846
2023,1,1,425,189.5346307,25.1,-11.44,-47.911,0.0593,0.643410742,6.614278793,12.6531415,2.221,1.25,33.39,1.15,47.3,902.14,
2023,1,2,452,652.4955184,25.1,-11.056,-49.472,0.0591,0.756825209,6.830202579,14.93778225,2.795,1.33,29.43,1.23,41.15,839.69,
2023,1,3,176,258.2412138,25.1,-11.179,-49.162,0.0674,0.917811692,7.050490379,15.87491226,2.942,1.22,36.82,1.07,49.78,867.45,
2023,1,4,149,-609.6776796,25.1,-11.426,-49.715,0.0507,0.75452888,6.853407383,17.3571873,2.608,1.27,32.41,1.15,42.86,818.87,
2023,2,1,0,10999.45011,23.2,-15.58,-45.973,0.0785,0.804279387,7.274354935,11.95152416,2.933,1.48,30.09,1.22,34.13,693.96,
2023,2,2,0,29014.06704,23.2,-13.251,-46.478,0.0738,0.842393219,7.014133453,13.31262278,2.651,1.35,32.95,1.05,41.05,902.14,
2023,2,3,0,18776.26216,23.2,-12.908,-45.713,0.0524,0.613296092,6.590788841,13.65096082,1.98,1.18,58.8,1.08,37.77,874.39,
2023,2,4,0,27655.37985,23.2,-12.615,-45.919,0.0606,0.901711464,6.216857433,17.3419021,3.031,1.62,10.25,1.12,38.01,763.35,
2023,3,1,0,21426.89573,24.4,-11.351,-48.168,0.0602,0.699458957,6.738134861,13.55424428,2.418,1.32,30.41,1.15,36.37,914.0272521,
2023,3,2,0,34515.30047,24.4,-11.271,-46.254,0.0698,0.805298924,6.719698906,13.45253819,2.915,1.32,29.06,1.21,37.16,913.2702498,
